"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2026","36.79","36.73","36.79","36.67","21.84K","0.04%"
"01/09/2026","36.78","36.56","36.79","36.54","14.94K","0.89%"
"01/08/2026","36.46","36.46","36.49","36.33","24.78K","-0.04%"
"01/07/2026","36.47","36.58","36.58","36.44","20.72K","-0.25%"
"01/06/2026","36.56","36.46","36.63","36.35","35.80K","0.54%"
"01/05/2026","36.37","36.13","36.37","36.06","34.62K","0.94%"
"01/02/2026","36.03","35.78","36.10","35.78","43.90K","0.68%"
"12/31/2025","35.78","35.73","35.78","35.62","9.06K","-0.07%"
"12/30/2025","35.81","35.58","35.84","35.56","21.10K","0.72%"
"12/29/2025","35.55","35.56","35.63","35.49","36.45K","-0.11%"
"12/24/2025","35.59","35.61","35.69","35.54","7.98K","0.15%"
"12/23/2025","35.53","35.47","35.58","35.43","14.95K","0.42%"
"12/22/2025","35.38","35.44","35.50","35.31","15.95K","-0.32%"
"12/19/2025","35.50","35.40","35.52","35.28","20.58K","0.50%"
"12/18/2025","35.33","34.99","35.33","34.99","8.27K","0.89%"
"12/17/2025","35.01","35.10","35.18","34.99","6.26K","-0.03%"
"12/16/2025","35.03","35.11","35.25","34.90","8.52K","-0.45%"
"12/15/2025","35.19","35.06","35.22","35.04","14.59K","0.70%"
"12/12/2025","34.94","35.22","35.33","34.92","25.31K","-0.54%"
"12/11/2025","35.13","34.88","35.19","34.84","9.08K","0.52%"
"12/10/2025","34.95","34.85","34.95","34.80","5.40K","0.00%"
"12/09/2025","34.95","35.09","35.10","34.90","10.03K","-0.03%"
"12/08/2025","34.96","34.96","34.99","34.90","11.23K","-0.03%"
"12/05/2025","34.97","35.03","35.12","34.97","13.41K","-0.03%"
"12/04/2025","34.98","34.92","35.03","34.83","9.30K","0.45%"
"12/03/2025","34.83","34.86","34.95","34.74","11.95K","0.13%"
"12/02/2025","34.78","34.72","34.92","34.71","13.90K","0.12%"
"12/01/2025","34.74","34.68","34.79","34.61","13.79K","-0.22%"
"11/28/2025","34.81","34.99","34.99","34.68","9.79K","0.23%"
"11/27/2025","34.74","34.67","34.76","34.63","5.09K","0.16%"
"11/26/2025","34.68","34.46","34.71","34.34","6.94K","1.08%"
"11/25/2025","34.31","34.10","34.33","33.94","12.53K","0.60%"
"11/24/2025","34.10","34.15","34.22","33.90","14.20K","0.31%"
"11/21/2025","34.00","33.70","34.01","33.66","14.50K","-0.22%"
"11/20/2025","34.08","34.29","34.33","34.08","29.44K","0.37%"
"11/19/2025","33.95","33.98","34.17","33.85","13.69K","-0.07%"
"11/18/2025","33.97","34.15","34.21","33.85","58.42K","-1.68%"
"11/17/2025","34.56","34.78","34.80","34.49","24.40K","-0.55%"
"11/14/2025","34.74","34.83","34.84","34.40","13.26K","-1.05%"
"11/13/2025","35.12","35.40","35.44","35.09","7.61K","-0.52%"
"11/12/2025","35.30","35.20","35.38","35.20","13.91K","0.70%"
"11/11/2025","35.06","34.77","35.08","34.77","14.21K","1.34%"
"11/10/2025","34.59","34.51","34.65","34.40","17.56K","1.36%"
"11/07/2025","34.13","34.38","34.39","34.01","7.68K","-0.54%"
"11/06/2025","34.31","34.51","34.53","34.26","12.81K","-0.68%"
"11/05/2025","34.54","34.20","34.60","34.20","12.64K","0.30%"
"11/04/2025","34.44","34.17","34.45","33.97","27.84K","-0.30%"
"11/03/2025","34.54","34.53","34.69","34.50","15.13K","0.03%"
"10/31/2025","34.53","34.67","34.67","34.46","9.92K","-0.50%"
